id,name,price,rate,description,link_product
20,Tivi Neo Qled Samsung 55 Inch 4K Ultra HD QA55QN90C,28.490.000đ,4.9,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Smart Tivi, Tivi QLED', 'Màn hình': '55 inch', 'Bộ xử lý': 'Bộ xử lý Neural Quantum 4K AI 20 nơ-ron', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2023', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại'}",https://pico.vn/smart-tivi-neo-qled-4k-55-inch-samsung-qa55qn90c-PNLX7987
21,Tivi Qled Samsung 43 Inch 4K Ultra HD QA43Q60B [HÀNG TRƯNG BÀY],8.990.000đ,4.8,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '43 inch', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại', 'Kích thước có chân': 'Ngang x cao x dày (96.55cm x 62.37cm x 18.76cm)', 'Khối lượng có chân': '8,7kg'}",https://pico.vn/tivi-qled-samsung-qa43q60bakxxv-43-4k-ultra-hd-DRXN3970
22,Tivi Neo Qled Samsung 55 Inch 4K Ultra HD QA55QN85C [HÀNG TRƯNG BÀY],20.999.000đ,5.0,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Smart Tivi, Tivi QLED', 'Màn hình': '55 inch', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2023', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại'}",https://pico.vn/tivi-neo-qled-samsung-qa55qn85cakxxv-55-inch-4k-ultra-hd-FCER8778
23,Tivi Neo Qled Samsung 65 Inch 8K Ultra HD QA65QN800C,37.990.000đ,5.0,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '65 inch', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại', 'Kích thước có chân': 'Ngang x cao x dày (144.37cm x 89.82cm x 26.79cm)'}",https://pico.vn/tivi-neo-qled-samsung-qa65qn800ckxxv-65-inch-8k-ultra-hd-XWMA6405
24,Tivi Neo Qled Samsung 65 Inch 4K Ultra HD QA65QN85C [HÀNG TRƯNG BÀY],24.990.000đ,5.0,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '65 inch', 'Bộ xử lý': 'Neural Quantum 4K', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại', 'Kích thước có chân': 'Ngang x cao x dày (144.63cm x 89.11cm x 28.57cm)'}",https://pico.vn/tivi-neo-qled-samsung-qa65qn85cakxxv-65-inch-4k-ultra-hd-ICGT8670
25,Tivi Qled Samsung 50 Inch 4K Ultra HD QA50Q80C,15.990.000đ,5.0,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Smart Tivi, Tivi QLED', 'Màn hình': '50 inch', 'Bộ xử lý': 'Neural Quantum 4K', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2023', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Chơi game trên tivi, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại'}",https://pico.vn/smart-tivi-samsung-50-inch-qled-4k-qa50q80cakxxv-SZZK2608
26,Tivi Qled Samsung 75 Inch 4K Ultra HD QA75Q80C,28.990.000đ,5.0,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '75 inch', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2023', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Trợ lý ảo Google Assistant', 'Kích thước có chân': 'Kích thước có chân đếNgang x cao x dày (167.06cm x 101.89cm x 31.35cm)'}",https://pico.vn/tivi-qled-samsung-qa75q80cakxxv-75-inch-4k-ultra-hd-CAEM1004
27,Tivi Neo Qled Samsung 75 Inch 4K Ultra HD QA75QN85C [HÀNG TRƯNG BÀY],39.990.000đ,4.9,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '75 inch', 'Bộ xử lý': 'Neural Quantum 4K', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2023', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại'}",https://pico.vn/tivi-neo-qled-samsung-qa75qn85cakxxv-75-inch-4k-ultra-hd-RGFW6241
28,Tivi Neo Qled Samsung 75 Inch 4K Ultra HD QA75QN90C,39.990.000đ,5.0,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '75 inch', 'Bộ xử lý': 'Neural Quantum 4K', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2023', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại'}",https://pico.vn/tivi-neo-qled-samsung-qa75qn90cakxxv-75-inch-4k-ultra-hd-ZGAR5259
29,Tivi Neo Qled Samsung 85 Inch 4K Ultra HD QA85QN85C,59.900.000đ,4.9,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '85 inch', 'Bộ xử lý': 'Neural Quantum 4K', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2023', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại'}",https://pico.vn/tivi-neo-qled-samsung-qa85qn85cakxxv-85-inch-4k-ultra-hd-HSUH1124
30,Tivi Neo Qled Samsung 85 Inch 8K Ultra HD QA85QN900C,139.990.000đ,4.8,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '85 inch', 'Bộ xử lý': 'Neural Quantum 8K', 'Độ phân giải': '8K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2023', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại'}",https://pico.vn/tivi-neo-qled-samsung-qa85qn900ckxxv-85-inch-8k-ultra-hd-IEAC8204
31,Tivi Qled Samsung 98 Inch 4K Ultra HD QA98Q80C,89.990.000đ,5.0,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '98 inch', 'Bộ xử lý': 'Neural Quantum 4K', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2023', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Trợ lý ảo Google Assistant', 'Kích thước có chân': 'Ngang x cao x dày (218.06cm x 130.68cm x 38.73cm)'}",https://pico.vn/tivi-qled-samsung-qa98q80cakxxv-98-inch-4k-ultra-hd-JMJZ9394
32,Tivi Qled Samsung 85 Inch 4K Ultra HD QA85Q70C,44.990.000đ,4.8,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '85 inch', 'Bộ xử lý': 'Bộ xử lý hình ảnh Quantum 4K: Bộ xử lý thông minh cho hình ảnh và âm thanh hoàn hảo', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Ứng dụng phổ biến': 'YouTube Netflix Clip TV FPT Play MyTV VieON Spotify Trình duyệt web Amazon Prime video Apple TV'}",https://pico.vn/tivi-qled-samsung-qa85q70c-85-inch-4k-ultra-hd-QA85Q70C
33,Tivi Qled Samsung 75 Inch 4K Ultra HD QA75Q70C,30.990.000đ,5.0,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '75 inch', 'Bộ xử lý': 'Quantum 4K', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Năm ra mắt': '2023', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Trợ lý ảo Google Assistant', 'Kích thước có chân': 'Ngang x cao x dày (167.75cm x 103.06cm x 32.06cm)'}",https://pico.vn/tivi-qled-samsung-qa75q70cakxxv-75-inch-4k-ultra-hd-YQBD9441
34,Tivi QLed The Frame Samsung 50 Inch 4K Ultra HD QA50LS03B,10.990.000đ,4.9,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '50 inch', 'Bộ xử lý': 'Quantum 4K', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Trợ lý ảo Google Assistant', 'Kích thước có chân': 'Ngang x cao x dày (112.41cm x 67.92cm x 22.78cm)', 'Khối lượng có chân': '12,2kg'}",https://pico.vn/tivi-qled-the-frame-samsung-qa50ls03bakxxv-50-inch-4k-ultra-hd-IULO1561
35,Tivi Qled Samsung 50 Inch 4K Ultra HD QA50Q60B [HÀNG TRƯNG BÀY],11.990.000đ,4.9,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '50 inch', 'Bộ xử lý': 'Quantum Processor Lite 4K', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại'}",https://pico.vn/tivi-qled-samsung-qa50q60bakxxv-50-4k-ultra-hd-NVEZ7126
36,Tivi Qled Samsung 65 Inch 4K Ultra HD QA65Q80C,22.990.000đ,4.8,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '65 inch', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Chia sẻ màn hình điện thoại lên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại', 'Kích thước có chân': 'Ngang x cao x dày (145.09cm x 89.71cm x 29.02cm)'}",https://pico.vn/tivi-qled-samsung-qa65q80cakxxv-65-inch-4k-ultra-hd-IWHL7058
37,Tivi QLed The Sero Samsung 43 Inch 4K QA43LS05B,16.990.000đ,5.0,"{'Thương hiệu': 'SAMSUNG', 'Loại Tivi': 'Tivi QLED', 'Màn hình': '43 inch', 'Bộ xử lý': 'Quantum 4K', 'Độ phân giải': '4K', 'Hệ điều hành': 'TizenOS', 'Nơi sản xuất': 'Việt Nam', 'Tiện ích': 'Tìm kiếm bằng giọng nói tiếng Việt, Chơi game trên tivi, Trợ lý ảo Google Assistant, Điều khiển bằng điện thoại', 'Kích thước có chân': 'Ngang x cao x dày (56.47cm x 120cm x 32.7cm)'}",https://pico.vn/tivi-qled-the-sero-samsung-qa43ls05bakxxv-43-inch-4k-MSEM7524
